Month,ProductID,Revenue,Units
Jul-99,25,19026,2
Jul-99,36,24885,5
Jul-99,94,10073.7,1
Jul-99,120,39816,4
Jul-99,139,6552,1
Jul-99,195,27008.1,3
Jul-99,226,9131.85,1
Jul-99,234,9695.7,2
Jul-99,248,12593.7,2
Jul-99,318,31175.55,3
Jul-99,326,17003.7,2
Jul-99,343,10391.85,1
Jul-99,370,19457.55,3
Jul-99,381,15179.85,1
Jul-99,396,801980.55,78
Jul-99,400,148037.4,18
Jul-99,415,5950.35,1
Jul-99,426,19237.05,2
Jul-99,433,115819.2,12
Jul-99,443,380639.7,40
Jul-99,475,430371.9,37
Jul-99,485,9686.25,1
Jul-99,488,69854.4,6
Jul-99,491,547898.4,56
Jul-99,495,33657.75,5
Jul-99,499,152116.65,15
Jul-99,510,40307.4,4
Jul-99,513,11336.22,2
Jul-99,521,6677.37,1
Jul-99,530,15055.74,2
Jul-99,532,39749.22,6
Jul-99,550,96903.45,20
Jul-99,559,148298.85,21
Jul-99,571,5887.35,1
Jul-99,573,71016.75,21
Jul-99,574,79732.8,8
Jul-99,580,105984.9,12
Jul-99,596,170383.5,19
Jul-99,599,271309.5,30
Jul-99,604,177297.75,32
Jul-99,606,49325.85,13
Jul-99,609,720537.3,77
Jul-99,612,11037.6,1
Jul-99,631,104551.65,25
Jul-99,645,278973.45,31
Jul-99,658,195048,18
Jul-99,663,92033.55,10
Jul-99,676,685944,71
Jul-99,681,189286.65,25
Jul-99,683,132416.55,14
Jul-99,687,96345.9,18
Jul-99,702,10298.61,3
Jul-99,713,24971.31,13
Jul-99,714,24971.31,13
Jul-99,725,117756.45,85
Jul-99,726,117756.45,85
Jul-99,727,46644.57,61
Jul-99,728,46644.57,61
Jul-99,729,3621.87,1
Jul-99,730,3621.87,1
Jul-99,739,38890.53,19
Jul-99,740,38890.53,19
Jul-99,743,9731.61,3
Jul-99,744,9731.61,3
Jul-99,747,3495.87,1
Jul-99,748,3495.87,1
Jul-99,753,32154.57,11
Jul-99,754,32154.57,11
Jul-99,757,83611.71,83
Jul-99,758,83611.71,83
Jul-99,767,56671.65,45
Jul-99,768,56671.65,45
Jul-99,769,55554.66,18
Jul-99,770,55554.66,18
Jul-99,771,9919.35,5
Jul-99,772,9919.35,5
Jul-99,795,52909.92,16
Jul-99,796,52909.92,16
Jul-99,797,134009.19,37
Jul-99,801,3464.37,1
Jul-99,823,7433.37,1
Jul-99,833,9575.37,1
Jul-99,837,19528.74,2
Jul-99,838,112070.7,10
Jul-99,847,21103.11,3
Jul-99,852,27151.11,3
Jul-99,863,3590.37,1
Jul-99,901,63873.81,13
Jul-99,910,4976.37,1
Jul-99,914,7244.37,1
Jul-99,921,18898.11,3
Jul-99,922,28346.85,5
Jul-99,932,5039.37,1
Jul-99,935,5858.37,1
Jul-99,936,53859.33,9
Jul-99,940,57010.59,7
Jul-99,952,3590.37,1
Jul-99,962,25197.48,4
Jul-99,964,21416.85,5
Jul-99,979,24188.85,5
Jul-99,981,22799.07,11
Jul-99,989,22047.48,4
Jul-99,990,16756.11,3
Jul-99,992,45288.81,13
Jul-99,993,3968.37,1
Jul-99,1003,14481.18,14
Jul-99,1005,12908.7,10
Jul-99,1008,8503.11,3
Jul-99,1014,6233.22,6
Jul-99,1045,17415.09,7
Jul-99,1046,11963.7,10
Jul-99,1053,12093.48,4
Jul-99,1063,2802.87,1
Jul-99,1064,2802.87,1
Jul-99,1065,138764.43,39
Jul-99,1066,138764.43,39
Jul-99,1079,6298.74,2
Jul-99,1080,6298.74,2
Jul-99,1081,2708.37,1
Jul-99,1082,2708.37,1
Jul-99,1105,17762.22,6
Jul-99,1106,17762.22,6
Jul-99,1109,7558.11,3
Jul-99,1110,7558.11,3
Jul-99,1111,16775.64,12
Jul-99,1112,16775.64,12
Jul-99,1116,45350.55,15
Jul-99,1120,20783.7,10
Jul-99,1122,20783.07,11
Jul-99,1131,15118.11,3
Jul-99,1132,52915.59,7
Jul-99,1150,61261.2,13
Jul-99,1157,49889.07,11
Jul-99,1166,31874.85,5
Jul-99,1168,4409.37,1
Jul-99,1169,5039.37,1
Jul-99,1173,125987.4,20
Jul-99,1182,15114.96,8
Jul-99,1185,45354.33,9
Jul-99,1188,22677.48,4
Jul-99,1191,9448.11,3
Jul-99,1203,3779.37,1
Jul-99,1206,6110.37,1
Jul-99,1208,3968.37,1
Jul-99,1215,42896.7,10
Jul-99,1225,8629.11,3
Jul-99,1227,15306.48,4
Jul-99,1229,2834.37,1
Jul-99,1230,68852.07,11
Jul-99,1259,3873.24,1
Jul-99,1260,3873.24,1
Jul-99,1270,4156.74,1
Jul-99,1290,3967.74,1
Jul-99,1298,8313.48,2
Jul-99,1317,25569.18,7
Jul-99,1318,25569.18,7
Jul-99,1329,14479.92,13
Jul-99,1330,14479.92,13
Jul-99,1345,7305.48,2
Jul-99,1346,7305.48,2
Jul-99,1347,17948.7,5
Jul-99,1348,17948.7,5
Jul-99,1351,3715.74,1
Jul-99,1352,3715.74,1
Jul-99,1379,15114.96,4
Jul-99,1380,15114.96,4
Jul-99,1425,13728.96,4
Jul-99,1426,13728.96,4
Jul-99,1429,13602.96,4
Jul-99,1430,13602.96,4
Jul-99,1435,26230.68,7
Jul-99,1436,26230.68,7
Jul-99,1449,15578.64,11
Jul-99,1450,15578.64,11
Jul-99,1483,2547.72,3
Jul-99,1484,2547.72,3
Jul-99,1489,9446.22,3
Jul-99,1490,9446.22,3
Jul-99,1517,15297.66,9
Jul-99,1518,15297.66,9
Jul-99,1641,4246.2,5
Jul-99,1894,90055.35,11
Jul-99,1909,7117.11,3
Jul-99,1911,20502.09,7
Jul-99,1920,20124.72,6
Jul-99,1948,153031.41,43
Jul-99,1949,153031.41,43
Jul-99,1956,33195.96,18
Jul-99,1957,33195.96,18
Jul-99,1960,15143.31,13
Jul-99,1961,15143.31,13
Jul-99,1968,8597.61,3
Jul-99,1969,8597.61,3
Jul-99,1974,14475.51,23
Jul-99,1975,14475.51,23
Jul-99,1978,3054.87,1
Jul-99,1979,3054.87,1
Jul-99,1990,117282.06,38
Jul-99,2005,3653.37,1
Jul-99,2012,18141.48,4
Jul-99,2045,44220.33,9
Jul-99,2047,22613.85,5
Jul-99,2050,11968.74,2
Jul-99,2056,42959.07,11
Jul-99,2057,17008.11,3
Jul-99,2062,13228.74,2
Jul-99,2064,46866.96,8
Jul-99,2070,106018.29,17
Jul-99,2074,43305.57,11
Jul-99,2081,15872.22,6
Jul-99,2083,14865.48,4
Jul-99,2091,27395.55,15
Jul-99,2094,31181.22,6
Jul-99,2121,14987.7,2
Jul-99,2126,5666.85,1
Jul-99,2130,16748.55,3
Jul-99,2135,18890.55,3
Jul-99,2140,6611.85,1
Jul-99,2161,6863.85,1
Jul-99,2167,6926.85,1
Jul-99,2188,13982.85,5
Jul-99,2192,7274.61,3
Jul-99,2199,10706.85,5
Jul-99,2204,2078.37,1
Jul-99,2205,2078.37,1
Jul-99,2210,16749.81,13
Jul-99,2211,16749.81,13
Jul-99,2234,54294.03,69
Jul-99,2235,54294.03,69
Jul-99,2246,4723.11,3
Jul-99,2247,4723.11,3
Jul-99,2254,42738.57,61
Jul-99,2255,42738.57,61
Jul-99,2268,7432.74,2
Jul-99,2277,166285.35,55
Jul-99,2279,37504.53,19
Jul-99,2282,299576.34,82
Jul-99,2284,211642.2,60
Jul-99,2287,40317.48,4
Jul-99,2290,9543.87,1
Jul-99,2307,6739.74,2
Jul-99,2331,154208.88,24
Jul-99,2352,41196.33,9
Jul-99,2357,6676.74,2
Jul-99,2364,3905.37,1
Jul-99,2370,8787.87,1
Jul-99,2371,6614.37,1
Jul-99,2372,29984.22,6
Jul-99,2373,85986.81,13
Jul-99,2379,2330.37,1
Jul-99,2380,7243.74,2
Jul-99,2388,85476.51,23
Jul-99,2401,5857.11,3
Jul-99,2406,5005.35,5
Jul-99,2407,7050.96,8
Jul-99,2410,1196.37,1
Aug-99,25,57078,6
Aug-99,32,8536.5,1
Aug-99,36,34839,7
Aug-99,94,41580,4
Aug-99,98,10262.7,1
Aug-99,120,168934.5,17
Aug-99,139,6552,1
Aug-99,157,7434,1
Aug-99,158,7875,1
Aug-99,184,43785,5
Aug-99,187,39312,4
Aug-99,193,8183.7,1
Aug-99,195,135040.5,15
Aug-99,226,18263.7,2
Aug-99,228,23615.55,3
Aug-99,234,9569.7,2
Aug-99,247,4406.85,1
Aug-99,248,25628.4,4
Aug-99,288,10391.85,1
Aug-99,297,17003.7,2
Aug-99,314,10451.7,2
Aug-99,318,51959.25,5
Aug-99,319,13226.85,1
Aug-99,320,16376.85,1
Aug-99,330,34634.25,5
Aug-99,370,25943.4,4
Aug-99,392,6126.75,1
Aug-99,393,6126.75,1
Aug-99,396,1121037.75,109
Aug-99,400,205143.75,25
Aug-99,415,29594.25,5
Aug-99,426,9695.7,1
Aug-99,433,135122.4,14
Aug-99,443,513513,54
Aug-99,464,13589.1,2
Aug-99,475,640133.55,55
Aug-99,485,9686.25,1
Aug-99,488,81496.8,7
Aug-99,491,606601.8,62
Aug-99,495,67315.5,10
Aug-99,499,233578.8,23
Aug-99,510,80362.8,8
Aug-99,513,16252.11,3
Aug-99,521,13354.74,2
Aug-99,530,37733.85,5
Aug-99,532,26709.48,4
Aug-99,550,111447,23
Aug-99,559,230907.6,32
Aug-99,573,101020.5,30
Aug-99,574,129565.8,13
Aug-99,580,202970.25,23
Aug-99,596,215006.4,24
Aug-99,597,149895.9,14
Aug-99,599,416007.9,46
Aug-99,604,438026.4,79
Aug-99,606,151193.7,40
Aug-99,609,1376975.25,147
Aug-99,631,128800.35,31
Aug-99,645,224324.1,25
Aug-99,658,140827.05,13
Aug-99,663,119589.75,13
Aug-99,676,751555.35,78
Aug-99,681,189469.35,25
Aug-99,683,160939.8,17
Aug-99,687,58807.35,11
Aug-99,702,34328.7,10
Aug-99,713,17287.83,9
Aug-99,714,17287.83,9
Aug-99,725,45717.21,33
Aug-99,726,45717.21,33
Aug-99,727,22913.1,30
Aug-99,728,22913.1,30
Aug-99,729,10834.11,3
Aug-99,730,10834.11,3
Aug-99,739,47078.01,23
Aug-99,740,47078.01,23
Aug-99,747,27966.96,8
Aug-99,748,27966.96,8
Aug-99,753,32028.57,11
Aug-99,754,32028.57,11
Aug-99,757,30221.1,30
Aug-99,758,30221.1,30
Aug-99,767,31452.75,25
Aug-99,768,31452.75,25
Aug-99,769,70986.51,23
Aug-99,770,70986.51,23
Aug-99,771,15870.96,8
Aug-99,772,15870.96,8
Aug-99,783,1322.37,1
Aug-99,784,1322.37,1
Aug-99,795,125535.06,38
Aug-99,796,125535.06,38
Aug-99,797,152118.54,42
Aug-99,801,10424.61,3
Aug-99,823,22300.11,3
Aug-99,833,47687.85,5
Aug-99,837,59216.22,6
Aug-99,838,246820.14,22
Aug-99,847,82522.44,12
Aug-99,852,71877.96,8
Aug-99,862,8692.11,3
Aug-99,901,108094.14,22
Aug-99,910,159243.84,32
Aug-99,914,14173.74,2
Aug-99,921,56694.33,9
Aug-99,922,34016.22,6
Aug-99,932,10330.74,2
Aug-99,935,5669.37,1
Aug-99,936,29921.85,5
Aug-99,940,81389.7,10
Aug-99,952,6298.74,2
Aug-99,962,37229.22,6
Aug-99,964,63620.55,15
Aug-99,979,34015.59,7
Aug-99,981,21413.07,11
Aug-99,988,4976.37,1
Aug-99,989,82583.55,15
Aug-99,990,59906.7,10
Aug-99,992,31179.33,9
Aug-99,1003,4155.48,4
Aug-99,1005,14199.57,11
Aug-99,1008,28343.7,10
Aug-99,1014,4155.48,4
Aug-99,1045,9951.48,4
Aug-99,1046,15426.81,13
Aug-99,1053,36280.44,12
Aug-99,1054,3590.37,1
Aug-99,1063,2802.87,1
Aug-99,1064,2802.87,1
Aug-99,1065,149472.54,42
Aug-99,1066,149472.54,42
Aug-99,1079,15746.85,5
Aug-99,1080,15746.85,5
Aug-99,1081,13541.85,5
Aug-99,1082,13541.85,5
Aug-99,1091,2034.27,1
Aug-99,1092,2034.27,1
Aug-99,1105,23682.96,8
Aug-99,1106,23682.96,8
Aug-99,1109,25193.7,10
Aug-99,1110,25193.7,10
Aug-99,1111,25163.46,18
Aug-99,1112,25163.46,18
Aug-99,1116,69506.01,23
Aug-99,1120,10391.85,5
Aug-99,1122,22672.44,12
Aug-99,1131,45354.33,9
Aug-99,1132,45356.22,6
Aug-99,1133,30237.48,4
Aug-99,1150,51836.4,11
Aug-99,1157,104313.51,23
Aug-99,1166,32000.85,5
Aug-99,1168,17637.48,4
Aug-99,1173,163783.62,26
Aug-99,1182,47234.25,25
Aug-99,1185,115905.51,23
Aug-99,1188,90709.92,16
Aug-99,1191,25131.96,8
Aug-99,1203,34329.33,9
Aug-99,1204,25574.85,5
Aug-99,1205,8818.74,2
Aug-99,1215,51526.44,12
Aug-99,1225,11337.48,4
Aug-99,1227,26707.59,7
Aug-99,1229,5668.74,2
Aug-99,1230,100096.92,16
Aug-99,1237,3999.24,1
Aug-99,1238,3999.24,1
Aug-99,1298,4156.74,1
Aug-99,1317,18421.2,5
Aug-99,1318,18421.2,5
Aug-99,1329,3341.52,3
Aug-99,1330,3341.52,3
Aug-99,1351,18578.7,5
Aug-99,1352,18578.7,5
Aug-99,1379,3778.74,1
Aug-99,1380,3778.74,1
Aug-99,1425,13728.96,4
Aug-99,1426,13728.96,4
Aug-99,1429,6801.48,2
Aug-99,1430,6801.48,2
Aug-99,1435,37472.4,10
Aug-99,1436,37472.4,10
Aug-99,1449,4248.72,3
Aug-99,1450,4248.72,3
Aug-99,1489,9446.22,3
Aug-99,1490,9446.22,3
Aug-99,1517,8498.7,5
Aug-99,1518,8498.7,5
Aug-99,1535,3715.74,1
Aug-99,1536,3715.74,1
Aug-99,1553,8048.88,2
Aug-99,1554,8048.88,2
Aug-99,1641,2547.72,3
Aug-99,1894,106429.05,13
Aug-99,1909,16753.59,7
Aug-99,1911,35146.44,12
Aug-99,1920,10109.61,3
Aug-99,1930,13542.48,4
Aug-99,1931,13542.48,4
Aug-99,1948,81791.01,23
Aug-99,1949,81791.01,23
Aug-99,1956,22143.24,12
Aug-99,1957,22143.24,12
Aug-99,1960,8154.09,7
Aug-99,1961,8154.09,7
Aug-99,1968,11463.48,4
Aug-99,1969,11463.48,4
Aug-99,1974,8811.18,14
Aug-99,1975,8811.18,14
Aug-99,1978,2991.87,1
Aug-99,1979,2991.87,1
Aug-99,1990,61727.4,20
Aug-99,2005,25227.09,7
Aug-99,2012,86172.03,19
Aug-99,2016,43084.44,12
Aug-99,2032,18612.09,7
Aug-99,2045,103054.77,21
Aug-99,2047,35967.96,8
Aug-99,2050,35906.22,6
Aug-99,2056,113003.73,29
Aug-99,2057,11338.74,2
Aug-99,2062,6614.37,1
