"Month","ProductID","Revenue","Units"
"Jul-99","25","19026","2"
"Jul-99","36","24885","5"
"Jul-99","94","10074","1"
"Jul-99","120","39816","4"
"Jul-99","139","6552","1"
"Jul-99","195","27008","3"
"Jul-99","226","9132","1"
"Jul-99","234","9696","2"
"Jul-99","248","12594","2"
"Jul-99","318","31176","3"
"Jul-99","326","17004","2"
"Jul-99","343","10392","1"
"Jul-99","370","19458","3"
"Jul-99","381","15180","1"
"Jul-99","396","801981","78"
"Jul-99","400","148037","18"
"Jul-99","415","5950","1"
"Jul-99","426","19237","2"
"Jul-99","433","115819","12"
"Jul-99","443","380640","40"
"Jul-99","475","430372","37"
"Jul-99","485","9686","1"
"Jul-99","488","69854","6"
"Jul-99","491","547898","56"
"Jul-99","495","33658","5"
"Jul-99","499","152117","15"
"Jul-99","510","40307","4"
"Jul-99","513","11336","2"
"Jul-99","521","6677","1"
"Jul-99","530","15056","2"
"Jul-99","532","39749","6"
"Jul-99","550","96903","20"
"Jul-99","559","148299","21"
"Jul-99","571","5887","1"
"Jul-99","573","71017","21"
"Jul-99","574","79733","8"
"Jul-99","580","105985","12"
"Jul-99","596","170384","19"
"Jul-99","599","271310","30"
"Jul-99","604","177298","32"
"Jul-99","606","49326","13"
"Jul-99","609","720537","77"
"Jul-99","612","11038","1"
"Jul-99","631","104552","25"
"Jul-99","645","278973","31"
"Jul-99","658","195048","18"
"Jul-99","663","92034","10"
"Jul-99","676","685944","71"
"Jul-99","681","189287","25"
"Jul-99","683","132417","14"
"Jul-99","687","96346","18"
"Jul-99","702","10299","3"
"Jul-99","713","24971","13"
"Jul-99","714","24971","13"
"Jul-99","725","117756","85"
"Jul-99","726","117756","85"
"Jul-99","727","46645","61"
"Jul-99","728","46645","61"
"Jul-99","729","3622","1"
"Jul-99","730","3622","1"
"Jul-99","739","38891","19"
"Jul-99","740","38891","19"
"Jul-99","743","9732","3"
"Jul-99","744","9732","3"
"Jul-99","747","3496","1"
"Jul-99","748","3496","1"
"Jul-99","753","32155","11"
"Jul-99","754","32155","11"
"Jul-99","757","83612","83"
"Jul-99","758","83612","83"
"Jul-99","767","56672","45"
"Jul-99","768","56672","45"
"Jul-99","769","55555","18"
"Jul-99","770","55555","18"
"Jul-99","771","9919","5"
"Jul-99","772","9919","5"
"Jul-99","795","52910","16"
"Jul-99","796","52910","16"
"Jul-99","797","134009","37"
"Jul-99","801","3464","1"
"Jul-99","823","7433","1"
"Jul-99","833","9575","1"
"Jul-99","837","19529","2"
"Jul-99","838","112071","10"
"Jul-99","847","21103","3"
"Jul-99","852","27151","3"
"Jul-99","863","3590","1"
"Jul-99","901","63874","13"
"Jul-99","910","4976","1"
"Jul-99","914","7244","1"
"Jul-99","921","18898","3"
"Jul-99","922","28347","5"
"Jul-99","932","5039","1"
"Jul-99","935","5858","1"
"Jul-99","936","53859","9"
"Jul-99","940","57011","7"
"Jul-99","952","3590","1"
"Jul-99","962","25197","4"
"Jul-99","964","21417","5"
"Jul-99","979","24189","5"
"Jul-99","981","22799","11"
"Jul-99","989","22047","4"
"Jul-99","990","16756","3"
"Jul-99","992","45289","13"
"Jul-99","993","3968","1"
"Jul-99","1003","14481","14"
"Jul-99","1005","12909","10"
"Jul-99","1008","8503","3"
"Jul-99","1014","6233","6"
"Jul-99","1045","17415","7"
"Jul-99","1046","11964","10"
"Jul-99","1053","12093","4"
"Jul-99","1063","2803","1"
"Jul-99","1064","2803","1"
"Jul-99","1065","138764","39"
"Jul-99","1066","138764","39"
"Jul-99","1079","6299","2"
"Jul-99","1080","6299","2"
"Jul-99","1081","2708","1"
"Jul-99","1082","2708","1"
"Jul-99","1105","17762","6"
"Jul-99","1106","17762","6"
"Jul-99","1109","7558","3"
"Jul-99","1110","7558","3"
"Jul-99","1111","16776","12"
"Jul-99","1112","16776","12"
"Jul-99","1116","45351","15"
"Jul-99","1120","20784","10"
"Jul-99","1122","20783","11"
"Jul-99","1131","15118","3"
"Jul-99","1132","52916","7"
"Jul-99","1150","61261","13"
"Jul-99","1157","49889","11"
"Jul-99","1166","31875","5"
"Jul-99","1168","4409","1"
"Jul-99","1169","5039","1"
"Jul-99","1173","125987","20"
"Jul-99","1182","15115","8"
"Jul-99","1185","45354","9"
"Jul-99","1188","22677","4"
"Jul-99","1191","9448","3"
"Jul-99","1203","3779","1"
"Jul-99","1206","6110","1"
"Jul-99","1208","3968","1"
"Jul-99","1215","42897","10"
"Jul-99","1225","8629","3"
"Jul-99","1227","15306","4"
"Jul-99","1229","2834","1"
"Jul-99","1230","68852","11"
"Jul-99","1259","3873","1"
"Jul-99","1260","3873","1"
"Jul-99","1270","4157","1"
"Jul-99","1290","3968","1"
"Jul-99","1298","8313","2"
"Jul-99","1317","25569","7"
"Jul-99","1318","25569","7"
"Jul-99","1329","14480","13"
"Jul-99","1330","14480","13"
"Jul-99","1345","7305","2"
"Jul-99","1346","7305","2"
"Jul-99","1347","17949","5"
"Jul-99","1348","17949","5"
"Jul-99","1351","3716","1"
"Jul-99","1352","3716","1"
"Jul-99","1379","15115","4"
"Jul-99","1380","15115","4"
"Jul-99","1425","13729","4"
"Jul-99","1426","13729","4"
"Jul-99","1429","13603","4"
"Jul-99","1430","13603","4"
"Jul-99","1435","26231","7"
"Jul-99","1436","26231","7"
"Jul-99","1449","15579","11"
"Jul-99","1450","15579","11"
"Jul-99","1483","2548","3"
"Jul-99","1484","2548","3"
"Jul-99","1489","9446","3"
"Jul-99","1490","9446","3"
"Jul-99","1517","15298","9"
"Jul-99","1518","15298","9"
"Jul-99","1641","4246","5"
"Jul-99","1894","90055","11"
"Jul-99","1909","7117","3"
"Jul-99","1911","20502","7"
"Jul-99","1920","20125","6"
"Jul-99","1948","153031","43"
"Jul-99","1949","153031","43"
"Jul-99","1956","33196","18"
"Jul-99","1957","33196","18"
"Jul-99","1960","15143","13"
"Jul-99","1961","15143","13"
"Jul-99","1968","8598","3"
"Jul-99","1969","8598","3"
"Jul-99","1974","14476","23"
"Jul-99","1975","14476","23"
"Jul-99","1978","3055","1"
"Jul-99","1979","3055","1"
"Jul-99","1990","117282","38"
"Jul-99","2005","3653","1"
"Jul-99","2012","18141","4"
"Jul-99","2045","44220","9"
"Jul-99","2047","22614","5"
"Jul-99","2050","11969","2"
"Jul-99","2056","42959","11"
"Jul-99","2057","17008","3"
"Jul-99","2062","13229","2"
"Jul-99","2064","46867","8"
"Jul-99","2070","106018","17"
"Jul-99","2074","43306","11"
"Jul-99","2081","15872","6"
"Jul-99","2083","14865","4"
"Jul-99","2091","27396","15"
"Jul-99","2094","31181","6"
"Jul-99","2121","14988","2"
"Jul-99","2126","5667","1"
"Jul-99","2130","16749","3"
"Jul-99","2135","18891","3"
"Jul-99","2140","6612","1"
"Jul-99","2161","6864","1"
"Jul-99","2167","6927","1"
"Jul-99","2188","13983","5"
"Jul-99","2192","7275","3"
"Jul-99","2199","10707","5"
"Jul-99","2204","2078","1"
"Jul-99","2205","2078","1"
"Jul-99","2210","16750","13"
"Jul-99","2211","16750","13"
"Jul-99","2234","54294","69"
"Jul-99","2235","54294","69"
"Jul-99","2246","4723","3"
"Jul-99","2247","4723","3"
"Jul-99","2254","42739","61"
"Jul-99","2255","42739","61"
"Jul-99","2268","7433","2"
"Jul-99","2277","166285","55"
"Jul-99","2279","37505","19"
"Jul-99","2282","299576","82"
"Jul-99","2284","211642","60"
"Jul-99","2287","40317","4"
"Jul-99","2290","9544","1"
"Jul-99","2307","6740","2"
"Jul-99","2331","154209","24"
"Jul-99","2352","41196","9"
"Jul-99","2357","6677","2"
"Jul-99","2364","3905","1"
"Jul-99","2370","8788","1"
"Jul-99","2371","6614","1"
"Jul-99","2372","29984","6"
"Jul-99","2373","85987","13"
"Jul-99","2379","2330","1"
"Jul-99","2380","7244","2"
"Jul-99","2388","85477","23"
"Jul-99","2401","5857","3"
"Jul-99","2406","5005","5"
"Jul-99","2407","7051","8"
"Jul-99","2410","1196","1"
"Aug-99","25","57078","6"
"Aug-99","32","8536","1"
"Aug-99","36","34839","7"
"Aug-99","94","41580","4"
"Aug-99","98","10263","1"
"Aug-99","120","168934","17"
"Aug-99","139","6552","1"
"Aug-99","157","7434","1"
"Aug-99","158","7875","1"
"Aug-99","184","43785","5"
"Aug-99","187","39312","4"
"Aug-99","193","8184","1"
"Aug-99","195","135040","15"
"Aug-99","226","18264","2"
"Aug-99","228","23616","3"
"Aug-99","234","9570","2"
"Aug-99","247","4407","1"
"Aug-99","248","25628","4"
"Aug-99","288","10392","1"
"Aug-99","297","17004","2"
"Aug-99","314","10452","2"
"Aug-99","318","51959","5"
"Aug-99","319","13227","1"
"Aug-99","320","16377","1"
"Aug-99","330","34634","5"
"Aug-99","370","25943","4"
"Aug-99","392","6127","1"
"Aug-99","393","6127","1"
"Aug-99","396","1121038","109"
"Aug-99","400","205144","25"
"Aug-99","415","29594","5"
"Aug-99","426","9696","1"
"Aug-99","433","135122","14"
"Aug-99","443","513513","54"
"Aug-99","464","13589","2"
"Aug-99","475","640134","55"
"Aug-99","485","9686","1"
"Aug-99","488","81497","7"
"Aug-99","491","606602","62"
"Aug-99","495","67316","10"
"Aug-99","499","233579","23"
"Aug-99","510","80363","8"
"Aug-99","513","16252","3"
"Aug-99","521","13355","2"
"Aug-99","530","37734","5"
"Aug-99","532","26709","4"
"Aug-99","550","111447","23"
"Aug-99","559","230908","32"
"Aug-99","573","101020","30"
"Aug-99","574","129566","13"
"Aug-99","580","202970","23"
"Aug-99","596","215006","24"
"Aug-99","597","149896","14"
"Aug-99","599","416008","46"
"Aug-99","604","438026","79"
"Aug-99","606","151194","40"
"Aug-99","609","1376975","147"
"Aug-99","631","128800","31"
"Aug-99","645","224324","25"
"Aug-99","658","140827","13"
"Aug-99","663","119590","13"
"Aug-99","676","751555","78"
"Aug-99","681","189469","25"
"Aug-99","683","160940","17"
"Aug-99","687","58807","11"
"Aug-99","702","34329","10"
"Aug-99","713","17288","9"
"Aug-99","714","17288","9"
"Aug-99","725","45717","33"
"Aug-99","726","45717","33"
"Aug-99","727","22913","30"
"Aug-99","728","22913","30"
"Aug-99","729","10834","3"
"Aug-99","730","10834","3"
"Aug-99","739","47078","23"
"Aug-99","740","47078","23"
"Aug-99","747","27967","8"
"Aug-99","748","27967","8"
"Aug-99","753","32029","11"
"Aug-99","754","32029","11"
"Aug-99","757","30221","30"
"Aug-99","758","30221","30"
"Aug-99","767","31453","25"
"Aug-99","768","31453","25"
"Aug-99","769","70987","23"
"Aug-99","770","70987","23"
"Aug-99","771","15871","8"
"Aug-99","772","15871","8"
"Aug-99","783","1322","1"
"Aug-99","784","1322","1"
"Aug-99","795","125535","38"
"Aug-99","796","125535","38"
"Aug-99","797","152119","42"
"Aug-99","801","10425","3"
"Aug-99","823","22300","3"
"Aug-99","833","47688","5"
"Aug-99","837","59216","6"
"Aug-99","838","246820","22"
"Aug-99","847","82522","12"
"Aug-99","852","71878","8"
"Aug-99","862","8692","3"
"Aug-99","901","108094","22"
"Aug-99","910","159244","32"
"Aug-99","914","14174","2"
"Aug-99","921","56694","9"
"Aug-99","922","34016","6"
"Aug-99","932","10331","2"
"Aug-99","935","5669","1"
"Aug-99","936","29922","5"
"Aug-99","940","81390","10"
"Aug-99","952","6299","2"
"Aug-99","962","37229","6"
"Aug-99","964","63621","15"
"Aug-99","979","34016","7"
"Aug-99","981","21413","11"
"Aug-99","988","4976","1"
"Aug-99","989","82584","15"
"Aug-99","990","59907","10"
"Aug-99","992","31179","9"
"Aug-99","1003","4155","4"
"Aug-99","1005","14200","11"
"Aug-99","1008","28344","10"
"Aug-99","1014","4155","4"
"Aug-99","1045","9951","4"
"Aug-99","1046","15427","13"
"Aug-99","1053","36280","12"
"Aug-99","1054","3590","1"
"Aug-99","1063","2803","1"
"Aug-99","1064","2803","1"
"Aug-99","1065","149473","42"
"Aug-99","1066","149473","42"
"Aug-99","1079","15747","5"
"Aug-99","1080","15747","5"
"Aug-99","1081","13542","5"
"Aug-99","1082","13542","5"
"Aug-99","1091","2034","1"
"Aug-99","1092","2034","1"
"Aug-99","1105","23683","8"
"Aug-99","1106","23683","8"
"Aug-99","1109","25194","10"
"Aug-99","1110","25194","10"
"Aug-99","1111","25163","18"
"Aug-99","1112","25163","18"
"Aug-99","1116","69506","23"
"Aug-99","1120","10392","5"
"Aug-99","1122","22672","12"
"Aug-99","1131","45354","9"
"Aug-99","1132","45356","6"
"Aug-99","1133","30237","4"
"Aug-99","1150","51836","11"
"Aug-99","1157","104314","23"
"Aug-99","1166","32001","5"
"Aug-99","1168","17637","4"
"Aug-99","1173","163784","26"
"Aug-99","1182","47234","25"
"Aug-99","1185","115906","23"
"Aug-99","1188","90710","16"
"Aug-99","1191","25132","8"
"Aug-99","1203","34329","9"
"Aug-99","1204","25575","5"
"Aug-99","1205","8819","2"
"Aug-99","1215","51526","12"
"Aug-99","1225","11337","4"
"Aug-99","1227","26708","7"
"Aug-99","1229","5669","2"
"Aug-99","1230","100097","16"
"Aug-99","1237","3999","1"
"Aug-99","1238","3999","1"
"Aug-99","1298","4157","1"
"Aug-99","1317","18421","5"
"Aug-99","1318","18421","5"
"Aug-99","1329","3342","3"
"Aug-99","1330","3342","3"
"Aug-99","1351","18579","5"
"Aug-99","1352","18579","5"
"Aug-99","1379","3779","1"
"Aug-99","1380","3779","1"
"Aug-99","1425","13729","4"
"Aug-99","1426","13729","4"
"Aug-99","1429","6801","2"
"Aug-99","1430","6801","2"
"Aug-99","1435","37472","10"
"Aug-99","1436","37472","10"
"Aug-99","1449","4249","3"
"Aug-99","1450","4249","3"
"Aug-99","1489","9446","3"
"Aug-99","1490","9446","3"
"Aug-99","1517","8499","5"
"Aug-99","1518","8499","5"
"Aug-99","1535","3716","1"
"Aug-99","1536","3716","1"
"Aug-99","1553","8049","2"
"Aug-99","1554","8049","2"
"Aug-99","1641","2548","3"
"Aug-99","1894","106429","13"
"Aug-99","1909","16754","7"
"Aug-99","1911","35146","12"
"Aug-99","1920","10110","3"
"Aug-99","1930","13542","4"
"Aug-99","1931","13542","4"
"Aug-99","1948","81791","23"
"Aug-99","1949","81791","23"
"Aug-99","1956","22143","12"
"Aug-99","1957","22143","12"
"Aug-99","1960","8154","7"
"Aug-99","1961","8154","7"
"Aug-99","1968","11463","4"
"Aug-99","1969","11463","4"
"Aug-99","1974","8811","14"
"Aug-99","1975","8811","14"
"Aug-99","1978","2992","1"
"Aug-99","1979","2992","1"
"Aug-99","1990","61727","20"
"Aug-99","2005","25227","7"
"Aug-99","2012","86172","19"
"Aug-99","2016","43084","12"
"Aug-99","2032","18612","7"
"Aug-99","2045","103055","21"
"Aug-99","2047","35968","8"
"Aug-99","2050","35906","6"
"Aug-99","2056","113004","29"
